SalesOrderID,OrderDate,ShipDate,OrderStatus
------------,---------,--------,-----------
75084,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75085,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75086,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75087,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75088,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75089,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75090,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75091,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75092,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75093,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75094,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75095,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75096,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75097,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75098,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75099,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75100,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75101,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75102,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75103,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75104,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75105,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75106,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75107,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75108,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75109,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75110,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75111,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75112,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75113,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75114,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75115,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75116,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75117,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75118,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75119,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75120,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75121,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75122,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75123,2014-06-30 00:00:00.000,2014-07-07 00:00:00.000,5
75061,2014-06-29 00:00:00.000,2014-07-06 00:00:00.000,5
75062,2014-06-29 00:00:00.000,2014-07-06 00:00:00.000,5
75063,2014-06-29 00:00:00.000,2014-07-06 00:00:00.000,5
75064,2014-06-29 00:00:00.000,2014-07-06 00:00:00.000,5
75065,2014-06-29 00:00:00.000,2014-07-06 00:00:00.000,5
75066,2014-06-29 00:00:00.000,2014-07-06 00:00:00.000,5
75067,2014-06-29 00:00:00.000,2014-07-06 00:00:00.000,5
75068,2014-06-29 00:00:00.000,2014-07-06 00:00:00.000,5
75069,2014-06-29 00:00:00.000,2014-07-06 00:00:00.000,5
75070,2014-06-29 00:00:00.000,2014-07-06 00:00:00.000,5
75071,2014-06-29 00:00:00.000,2014-07-06 00:00:00.000,5
75072,2014-06-29 00:00:00.000,2014-07-06 00:00:00.000,5
75073,2014-06-29 00:00:00.000,2014-07-06 00:00:00.000,5
75074,2014-06-29 00:00:00.000,2014-07-06 00:00:00.000,5
75075,2014-06-29 00:00:00.000,2014-07-06 00:00:00.000,5
75076,2014-06-29 00:00:00.000,2014-07-06 00:00:00.000,5
75077,2014-06-29 00:00:00.000,2014-07-06 00:00:00.000,5
75078,2014-06-29 00:00:00.000,2014-07-06 00:00:00.000,5
75079,2014-06-29 00:00:00.000,2014-07-06 00:00:00.000,5
75080,2014-06-29 00:00:00.000,2014-07-06 00:00:00.000,5
75081,2014-06-29 00:00:00.000,2014-07-06 00:00:00.000,5
75082,2014-06-29 00:00:00.000,2014-07-06 00:00:00.000,5
75083,2014-06-29 00:00:00.000,2014-07-06 00:00:00.000,5
75030,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75031,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75032,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75033,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75034,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75035,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75036,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75037,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75038,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75039,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75040,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75041,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75042,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75043,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75044,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75045,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75046,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75047,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75048,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75049,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75050,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75051,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75052,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75053,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75054,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75055,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75056,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75057,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75058,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75059,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
75060,2014-06-28 00:00:00.000,2014-07-05 00:00:00.000,5
74998,2014-06-27 00:00:00.000,2014-07-04 00:00:00.000,5
74999,2014-06-27 00:00:00.000,2014-07-04 00:00:00.000,5
75000,2014-06-27 00:00:00.000,2014-07-04 00:00:00.000,5
