ProductID,ProductName,CurrentStock
---------,-----------,------------
859,Half-Finger Gloves, M,0
853,Women's Tights, M,0
876,Hitch Rack - 4-Bike,0
882,Short-Sleeve Classic Jersey, M,0
883,Short-Sleeve Classic Jersey, L,36
877,Bike Wash - Dissolver,36
854,Women's Tights, L,36
860,Half-Finger Gloves, L,36
492,Paint - Black,47
494,Paint - Silver,65
861,Full-Finger Gloves, S,72
842,Touring-Panniers, Large,72
855,Men's Bib-Shorts, S,72
884,Short-Sleeve Classic Jersey, XL,72
956,Touring-1000 Yellow, 54,75
493,Paint - Red,93
496,Paint - Yellow,99
880,Hydration Pack - 70 oz.,108
856,Men's Bib-Shorts, M,108
878,Fender Set - Mountain,108
849,Men's Sports Shorts, M,108
862,Full-Finger Gloves, M,108
495,Paint - Blue,109
752,Road-150 Red, 52,128
788,Mountain-300 Black, 48,128
800,Road-550-W Yellow, 44,129
756,Road-450 Red, 44,129
969,Touring-1000 Blue, 60,129
972,Touring-2000 Blue, 54,129
968,Touring-1000 Blue, 54,133
970,Touring-2000 Blue, 46,133
975,Road-350-W Yellow, 44,133
749,Road-150 Red, 62,133
769,Road-650 Black, 48,133
798,Road-550-W Yellow, 40,133
801,Road-550-W Yellow, 48,134
793,Road-250 Black, 44,134
765,Road-650 Black, 58,134
757,Road-450 Red, 48,134
755,Road-450 Red, 60,137
762,Road-650 Red, 44,137
784,Mountain-200 Black, 46,137
785,Mountain-300 Black, 38,137
779,Mountain-200 Silver, 38,137
955,Touring-1000 Yellow, 50,137
781,Mountain-200 Silver, 46,140
787,Mountain-300 Black, 44,140
764,Road-650 Red, 52,140
751,Road-150 Red, 48,140
713,Long-Sleeve Logo Jersey, S,144
863,Full-Finger Gloves, L,144
850,Men's Sports Shorts, L,144
879,All-Purpose Bike Stand,144
857,Men's Bib-Shorts, L,144
846,Taillights - Battery-Powered,144
967,Touring-1000 Blue, 50,148
974,Road-350-W Yellow, 42,148
954,Touring-1000 Yellow, 46,148
754,Road-450 Red, 58,148
761,Road-650 Red, 62,148
796,Road-250 Black, 58,148
797,Road-550-W Yellow, 38,148
768,Road-650 Black, 44,148
783,Mountain-200 Black, 42,148
791,Road-250 Red, 52,148
777,Mountain-100 Black, 44,149
771,Mountain-100 Silver, 38,149
980,Mountain-400-W Silver, 38,150
989,Mountain-500 Black, 40,150
957,Touring-1000 Yellow, 60,151
990,Mountain-500 Black, 42,153
986,Mountain-500 Silver, 44,153
981,Mountain-400-W Silver, 40,153
977,Road-750 Black, 58,153
993,Mountain-500 Black, 52,153
997,Road-750 Black, 44,153
772,Mountain-100 Silver, 42,153
778,Mountain-100 Black, 48,153
982,Mountain-400-W Silver, 42,154
